Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A230482,Dakota Dean,3/13/2015 17:01,15-Mar,3/20/2001,Euthanasia,Suffering,Dog,Intact Male,13 years,Queensland Heeler,Blue Merle
A233812,Bandit,9/6/2014 18:52,14-Sep,6/8/2001,Return to Owner,,Dog,Neutered Male,13 years,Rottweiler/Chow Chow,Brown/Black
A234161,Midnight,12/27/2013 17:02,13-Dec,3/26/2001,Return to Owner,,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black/White
A236259,Captain,7/9/2014 12:00,14-Jul,7/10/2001,Return to Owner,,Dog,Neutered Male,13 years,Smooth Fox Terrier Mix,Black/Tricolor
A238870,Jam,6/17/2016 12:37,16-Jun,5/24/2001,Transfer,Partner,Dog,Neutered Male,15 years,Rat Terrier Mix,Gray/White
A243903,Budgie,1/5/2014 11:45,14-Jan,7/12/2000,Return to Owner,,Cat,Neutered Male,13 years,Domestic Shorthair,Black/Black
A245945,Boomer,5/25/2015 11:49,15-May,5/23/2000,Transfer,Partner,Dog,Neutered Male,15 years,Labrador Retriever Mix,Tan
A245945,Boomer,7/4/2014 15:26,14-Jul,5/23/2000,Return to Owner,,Dog,Neutered Male,14 years,Labrador Retriever Mix,Tan
A249087,*Polly,11/15/2016 10:37,16-Nov,1/2/2001,Adoption,Foster,Dog,Spayed Female,15 years,German Shepherd Mix,Black/Brown
A251095,Beauty,3/2/2016 13:16,16-Mar,12/3/2001,Euthanasia,Medical,Dog,Spayed Female,14 years,Border Collie,Tricolor
A251214,Rex,9/4/2014 16:12,14-Sep,10/27/2001,Return to Owner,,Dog,Neutered Male,12 years,German Shepherd Mix,Cream
A251268,Sully,1/29/2018 16:07,18-Jan,11/28/2000,Return to Owner,,Cat,Neutered Male,17 years,Domestic Shorthair Mix,Black
A251402,Amy,10/23/2017 11:32,17-Oct,1/25/1999,Return to Owner,,Dog,Spayed Female,18 years,Chihuahua Shorthair Mix,Tan
A253939,Dirty,1/13/2014 15:54,14-Jan,7/28/2001,Return to Owner,,Dog,Spayed Female,12 years,Pit Bull/Catahoula,Red
A254503,Daisy,11/13/2014 11:30,14-Nov,5/7/1997,Euthanasia,Suffering,Dog,Spayed Female,17 years,Labrador Retriever Mix,Tan
A256412,Beau,10/6/2013 14:26,13-Oct,3/11/1997,Return to Owner,,Dog,Intact Male,16 years,Labrador Retriever Mix,Yellow
A258441,Spring,11/28/2014 14:27,14-Nov,10/8/2000,Euthanasia,Suffering,Cat,Spayed Female,14 years,Domestic Shorthair Mix,Gray Tabby/White
A260631,Popki,10/20/2014 13:50,14-Oct,4/20/2000,Transfer,Partner,Cat,Neutered Male,14 years,Domestic Longhair Mix,Black/White
A260914,Champagne,6/18/2015 11:09,15-Jun,2/22/2002,Return to Owner,,Dog,Neutered Male,13 years,Border Collie/Catahoula,Brown Merle
A261398,Dilly,1/12/2016 12:50,16-Jan,1/1/2002,Return to Owner,,Dog,Neutered Male,14 years,Bichon Frise Mix,White
A261770,Halo,11/7/2014 15:51,14-Nov,11/7/1994,Euthanasia,Suffering,Cat,Neutered Male,20 years,Domestic Shorthair Mix,White
A267174,Jackie,3/19/2014 11:39,14-Mar,2/9/2002,Return to Owner,,Dog,Neutered Male,12 years,Jack Russell Terrier Mix,White/Brown
A268022,China,8/3/2015 13:08,15-Aug,4/6/2002,Euthanasia,Suffering,Dog,Spayed Female,13 years,Labrador Retriever Mix,Tan
A271790,Grant,9/21/2014 16:23,14-Sep,2/13/2002,Euthanasia,Medical,Dog,Neutered Male,12 years,Harrier Mix,Tricolor
A274546,Sophie,11/16/2013 12:24,13-Nov,5/25/2002,Adoption,,Dog,Spayed Female,11 years,Pointer Mix,Tricolor
A275975,Squeakers,10/12/2013 11:27,13-Oct,3/12/2002,Adoption,,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Black
A276644,Munchkin,1/2/2017 11:03,17-Jan,6/1/2002,Transfer,Partner,Cat,Spayed Female,14 years,Domestic Shorthair Mix,Tortie
A276780,Seth,11/22/2013 15:56,13-Nov,5/27/2002,Return to Owner,,Dog,Neutered Male,11 years,Border Collie/Chow Chow,Black
A279045,Pyewackett,2/13/2015 11:15,15-Feb,9/17/2000,Return to Owner,,Cat,Spayed Female,14 years,Domestic Shorthair Mix,White/Gray Tabby
A279920,Carry,9/5/2014 14:31,14-Sep,7/23/2002,Euthanasia,Behavior,Dog,Neutered Male,12 years,American Eskimo Mix,Cream
A280390,Tito,12/26/2018 11:30,18-Dec,4/22/2002,Return to Owner,,Dog,Neutered Male,16 years,Chihuahua Shorthair Mix,Tan/Red
A281542,George,5/19/2014 12:32,14-May,9/25/2001,Adoption,Foster,Dog,Neutered Male,12 years,Labrador Retriever Mix,Black/Brown Brindle
A282897,Toby,12/28/2013 17:05,13-Dec,10/8/2001,Adoption,,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black Smoke/White
A282897,Toby,7/11/2015 16:49,15-Jul,10/8/2001,Adoption,,Cat,Neutered Male,13 years,Domestic Shorthair Mix,Black Smoke/White
A283495,Mae,12/18/2020 17:36,20-Dec,10/12/2001,Return to Owner,,Cat,Spayed Female,19 years,Domestic Shorthair Mix,Calico
A283735,Angel,1/22/2015 19:17,15-Jan,10/15/2001,Euthanasia,Suffering,Dog,Spayed Female,13 years,Doberman Pinsch Mix,Brown/Tan
A284639,Fatboy,1/28/2014 13:17,14-Jan,4/23/2002,Return to Owner,,Dog,Neutered Male,11 years,German Shepherd Mix,Tan
A285685,Napole0N,4/13/2017 11:56,17-Apr,4/3/2000,Return to Owner,,Dog,Neutered Male,17 years,Parson Russell Terrier Mix,White/Black
A287017,Stitch,12/12/2014 16:49,14-Dec,5/13/2001,Return to Owner,,Dog,Spayed Female,13 years,Chihuahua Shorthair Mix,Black/White
A287017,Stitch,8/16/2015 13:31,15-Aug,5/13/2001,Return to Owner,,Dog,Spayed Female,14 years,Chihuahua Shorthair Mix,Black/White
A287217,Spider,10/31/2014 13:06,14-Oct,5/16/2002,Return to Owner,,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Black
A290917,Sweet Pea,7/8/2014 14:46,14-Jul,10/15/2002,Transfer,Partner,Cat,Spayed Female,11 years,Domestic Longhair Mix,Orange Tabby/White
A291843,Toby,12/12/2017 13:31,17-Dec,9/23/2002,Return to Owner,,Dog,Neutered Male,15 years,Pit Bull Mix,Brown/Tan
A292482,Clara,7/7/2014 11:06,14-Jul,11/1/2001,Return to Owner,,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Black/White
A293138,,4/26/2017 12:54,17-Apr,4/9/2002,Transfer,Partner,Cat,Spayed Female,15 years,Domestic Shorthair,Blue Cream/Tortie
A293383,Tarras,3/19/2018 13:44,18-Mar,10/5/2002,Return to Owner,,Cat,Neutered Male,15 years,Siamese,Lynx Point
A293634,Maddie,9/1/2014 13:10,14-Sep,9/27/2001,Return to Owner,,Dog,Spayed Female,12 years,Australian Shepherd Mix,Tricolor
A294132,Jasper,10/26/2013 12:31,13-Oct,1/29/2001,Return to Owner,,Dog,Neutered Male,12 years,Australian Shepherd Mix,Black/Brown
A294728,Mr Wiggles,8/1/2014 15:59,14-Aug,10/31/2002,Return to Owner,,Dog,Neutered Male,11 years,Chow Chow/Labrador Retriever,Brown/Buff
A295822,Fuzzy,5/9/2015 18:47,15-May,9/9/2002,Adoption,,Cat,Spayed Female,12 years,Domestic Longhair Mix,Black
A297699,Sprocket,11/20/2017 15:58,17-Nov,10/23/2002,Return to Owner,,Dog,Neutered Male,15 years,Australian Cattle Dog Mix,Red Merle
A298074,Stumpy,9/7/2015 11:40,15-Sep,2/7/1997,Return to Owner,,Dog,Spayed Female,18 years,Parson Russell Terrier Mix,Black/White
A298677,Polly,7/27/2015 13:59,15-Jul,3/17/2002,Euthanasia,Suffering,Dog,Spayed Female,13 years,German Shepherd Mix,Tan
A301824,Ginger,10/10/2016 19:09,16-Oct,12/4/2002,Transfer,Partner,Cat,Spayed Female,13 years,Domestic Shorthair,Calico
A302820,*Ladybug,7/25/2014 10:30,14-Jul,3/19/2003,Adoption,Foster,Dog,Spayed Female,11 years,German Shepherd Mix,Brown
A302868,Brie,7/14/2018 15:31,18-Jul,2/11/2003,Transfer,Partner,Cat,Spayed Female,15 years,Domestic Shorthair Mix,Torbie
A303591,Bear Bear,11/11/2016 10:56,16-Nov,11/5/2000,Transfer,Partner,Dog,Neutered Male,16 years,Miniature Schnauzer/Yorkshire Terrier,Black/Tan
A304036,Pepito,6/14/2015 16:09,15-Jun,4/24/2002,Adoption,,Cat,Neutered Male,13 years,Domestic Shorthair Mix,Brown Tabby/White
A304036,Pepito,4/19/2016 13:52,16-Apr,4/24/2002,Return to Owner,,Cat,Neutered Male,13 years,Domestic Shorthair Mix,Brown Tabby/White
A305112,Baylee,4/5/2014 12:16,14-Apr,11/16/2002,Return to Owner,,Dog,Spayed Female,11 years,Rat Terrier,White/Brown
A305674,Crystal,7/10/2014 18:53,14-Jul,11/8/2001,Euthanasia,Suffering,Dog,Spayed Female,12 years,Siberian Husky Mix,Brown/Cream
A306362,Zoey,7/18/2015 16:40,15-Jul,7/13/2002,Return to Owner,,Dog,Spayed Female,13 years,Labrador Retriever/Chow Chow,Black
A306965,Baby,4/28/2014 11:29,14-Apr,10/28/1999,Return to Owner,,Dog,Spayed Female,14 years,Chihuahua Shorthair Mix,Blue/White
A307010,Cooper,9/28/2016 9:36,16-Sep,3/4/2003,Return to Owner,,Dog,Neutered Male,13 years,Beagle Mix,Tricolor
A307010,Cooper,6/5/2017 15:11,17-Jun,3/4/2003,Return to Owner,,Dog,Neutered Male,14 years,Beagle Mix,Tricolor
A307398,Bacca,12/13/2015 13:49,15-Dec,11/21/2002,Euthanasia,Suffering,Dog,Spayed Female,13 years,Queensland Heeler/German Shepherd,Black/Tricolor
A307592,Arthur,6/14/2014 15:15,14-Jun,5/23/2002,Adoption,,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White
A308771,Lili,3/2/2014 14:40,14-Mar,8/16/1999,Return to Owner,,Dog,Spayed Female,14 years,Labrador Retriever Mix,Brown
A309706,Sammy,3/13/2017 18:58,17-Mar,2/1/2003,Return to Owner,,Dog,Spayed Female,14 years,Pit Bull/Labrador Retriever,Black/White
A309829,Petey,11/12/2014 15:34,14-Nov,11/10/2001,Return to Owner,,Dog,Intact Male,13 years,Dachshund,Brown
A310394,Carolina,11/17/2014 12:04,14-Nov,12/16/2002,Return to Owner,,Dog,Spayed Female,11 years,Chow Chow/Cardigan Welsh Corgi,Red/White
A310454,Sammy,10/12/2015 13:25,15-Oct,1/1/2002,Return to Owner,,Dog,Neutered Male,13 years,Chihuahua Shorthair Mix,Tan/White
A310938,Rocky,4/19/2015 12:06,15-Apr,6/21/2002,Return to Owner,,Cat,Neutered Male,12 years,Domestic Shorthair,Gray/White
A311544,Tanner,10/28/2013 0:03,13-Oct,1/25/1997,Return to Owner,,Dog,Neutered Male,16 years,Labrador Retriever/Chinese Sharpei,Brown
A312005,Harold,10/18/2014 16:32,14-Oct,7/2/2001,Adoption,,Cat,Neutered Male,13 years,Siamese Mix,Lilac Point
A313260,Jasmine,6/12/2018 13:23,18-Jun,5/7/2003,Return to Owner,,Dog,Spayed Female,15 years,Labrador Retriever/Chow Chow,Black/White
A317673,Camille,4/2/2018 14:28,18-Apr,4/8/2003,Transfer,Partner,Cat,Spayed Female,14 years,Siamese Mix,Lynx Point
A317744,Sofie Belle,8/28/2020 13:40,20-Aug,3/10/2003,Return to Owner,,Cat,Spayed Female,17 years,Domestic Shorthair Mix,Blue
A317783,Pumpkin,2/25/2017 16:35,17-Feb,2/10/2002,Return to Owner,,Dog,Spayed Female,15 years,Golden Retriever Mix,Gold
A318500,Tiger,10/8/2014 16:13,14-Oct,8/18/2001,Return to Owner,,Dog,Neutered Male,13 years,German Shepherd Mix,Tan
A318574,Huey,5/23/2016 12:54,16-May,4/19/2003,Euthanasia,Suffering,Cat,Neutered Male,13 years,Domestic Shorthair,Brown Tabby
A318574,Huey,7/31/2015 17:02,15-Jul,4/19/2003,Adoption,,Cat,Neutered Male,12 years,Domestic Shorthair,Brown Tabby
A318615,Buddy,3/30/2015 15:33,15-Mar,2/24/2001,Euthanasia,Suffering,Dog,Neutered Male,14 years,German Shepherd Mix,Black/Tan
A321263,Jill,11/18/2017 13:04,17-Nov,5/15/2003,Return to Owner,,Dog,Spayed Female,14 years,Australian Shepherd/Catahoula,Brown/Black
A321325,Katie,5/28/2019 17:34,19-May,9/16/2000,Return to Owner,,Cat,Spayed Female,18 years,Domestic Shorthair,Black/White
A321341,Chelsea,3/30/2014 16:38,14-Mar,7/16/2003,Adoption,,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Tortie
A321820,Ziggy,2/9/2018 13:31,18-Feb,3/19/2001,Return to Owner,,Cat,Neutered Male,16 years,Domestic Longhair Mix,Black/White
A322813,Tyson,12/24/2015 14:31,15-Dec,3/26/2003,Return to Owner,,Dog,Neutered Male,12 years,Rottweiler Mix,Black/Brown
A322813,Tyson,3/13/2015 13:49,15-Mar,3/26/2003,Return to Owner,,Dog,Neutered Male,11 years,Rottweiler Mix,Black/Brown
A323090,Shelby,5/22/2016 11:22,16-May,7/29/2003,Return to Owner,,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Brown Tabby
A323668,Ringo,3/6/2015 17:36,15-Mar,5/15/2003,Return to Owner,,Dog,Neutered Male,11 years,Australian Cattle Dog Mix,Tricolor
A325999,Precious,8/27/2015 12:11,15-Aug,4/30/2003,Euthanasia,Suffering,Dog,Spayed Female,12 years,Pit Bull Mix,Brown/White
A326898,Silver,5/28/2017 13:34,17-May,4/28/2003,Return to Owner,,Cat,Spayed Female,14 years,Domestic Shorthair Mix,Blue/White
A328422,Cru,3/17/2014 11:55,14-Mar,4/13/2003,Return to Owner,,Dog,Neutered Male,10 years,Parson Russell Terrier Mix,White/Black
A329257,Dot,12/12/2017 13:31,17-Dec,2/20/2003,Return to Owner,,Dog,Spayed Female,14 years,Chow Chow Mix,Tan
A329502,Gizmo,7/20/2015 17:54,15-Jul,1/12/1999,Return to Owner,,Dog,Neutered Male,16 years,Chihuahua Shorthair,Brown
A329502,Gizmo,1/18/2016 14:25,16-Jan,1/12/1999,Transfer,Partner,Dog,Neutered Male,17 years,Chihuahua Shorthair,Brown
A329835,Molly,11/11/2013 18:33,13-Nov,12/1/2002,Return to Owner,,Dog,Spayed Female,10 years,Labrador Retriever Mix,Brown/Black
A329871,Ruth,11/23/2013 11:15,13-Nov,6/16/1998,Return to Owner,,Dog,Spayed Female,15 years,Chinese Sharpei/Labrador Retriever,Brown/White
A329968,Romeo,10/21/2013 18:43,13-Oct,5/25/1999,Return to Owner,,Dog,Neutered Male,14 years,Labrador Retriever,Yellow
A332026,Muttley,6/12/2017 14:40,17-Jun,12/23/2001,Return to Owner,,Dog,Neutered Male,15 years,Border Collie Mix,Black/White
A332246,Boss,4/22/2017 18:43,17-Apr,3/25/2003,Return to Owner,,Dog,Intact Male,14 years,Pit Bull,Brown/White
A333314,Katie Belle,8/7/2018 10:40,18-Aug,10/6/2003,Adoption,Foster,Cat,Spayed Female,14 years,Domestic Shorthair Mix,Calico
A333659,Tyoma,10/27/2013 19:17,13-Oct,12/9/2003,Return to Owner,,Dog,Neutered Male,9 years,Cocker Spaniel Mix,Red/Black
A333780,Romeo,5/18/2016 15:37,16-May,11/10/2003,Return to Owner,,Dog,Neutered Male,12 years,Chihuahua Shorthair Mix,Tricolor
A333781,Junior,5/16/2016 17:19,16-May,11/10/2003,Return to Owner,,Dog,Neutered Male,12 years,Chihuahua Shorthair Mix,Tan/White
A334065,Romeo,5/26/2015 12:26,15-May,6/13/2002,Euthanasia,Suffering,Dog,Neutered Male,12 years,Labrador Retriever/German Shepherd,Yellow
A335182,Annie,1/3/2014 11:04,14-Jan,1/29/2003,Return to Owner,,Dog,Spayed Female,10 years,Labrador Retriever/Pit Bull,Black Brindle
A335778,Brownie,5/6/2017 12:02,17-May,2/7/2003,Return to Owner,,Dog,Spayed Female,14 years,Rottweiler/German Shepherd,Brown/Black
A335950,Doyle,2/6/2014 11:16,14-Feb,2/7/2002,Euthanasia,Suffering,Dog,Neutered Male,12 years,Labrador Retriever Mix,White/Red
A337187,Buster,6/19/2014 17:43,14-Jun,2/17/2002,Euthanasia,Suffering,Dog,Neutered Male,12 years,Golden Retriever Mix,Red/Black
A337603,Roxy,9/5/2016 12:56,16-Sep,9/21/2001,Return to Owner,,Dog,Spayed Female,14 years,Catahoula Mix,Brown/Blue Merle
A337686,Sparky,5/29/2015 18:43,15-May,8/22/2003,Return to Owner,,Dog,Spayed Female,11 years,Border Collie Mix,Black/Tan
A337686,Sparky,6/7/2015 12:45,15-Jun,8/22/2003,Return to Owner,,Dog,Spayed Female,11 years,Border Collie Mix,Black/Tan
A337859,Benny,7/25/2014 16:20,14-Jul,2/25/2000,Euthanasia,Suffering,Dog,Neutered Male,14 years,Labrador Retriever Mix,White
A338231,Boots,3/25/2018 13:25,18-Mar,2/28/2002,Adoption,,Dog,Neutered Male,16 years,Border Collie Mix,Black/White
A338231,Boots,5/18/2015 16:09,15-May,2/28/2002,Return to Owner,,Dog,Neutered Male,13 years,Border Collie Mix,Black/White
A338643,Herbie,3/16/2017 18:55,17-Mar,1/24/2004,Adoption,Foster,Dog,Neutered Male,13 years,Labrador Retriever/Australian Cattle Dog,Black/White
A338821,Ginger,3/18/2015 16:57,15-Mar,1/9/2004,Adoption,,Dog,Spayed Female,11 years,German Shepherd Mix,Brown/Black
A339103,Ani,4/21/2015 17:38,15-Apr,1/12/2004,Return to Owner,,Dog,Spayed Female,11 years,Labrador Retriever Mix,Brown/White
A339523,Madigan,2/20/2016 13:57,16-Feb,1/28/2004,Return to Owner,,Dog,Spayed Female,12 years,Blue Lacy Mix,Blue
A339803,Buzz,1/5/2014 16:10,14-Jan,1/21/2004,Adoption,,Dog,Neutered Male,9 years,Labrador Retriever/German Shepherd,Tan
A341599,Reece,1/11/2014 11:05,14-Jan,1/18/2004,Transfer,Partner,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Black
A342473,Sula,7/22/2018 15:42,18-Jul,1/8/2003,Return to Owner,,Dog,Spayed Female,15 years,Miniature Poodle/Chihuahua Shorthair,Cream/White
A342475,Simba,6/23/2017 14:58,17-Jun,9/26/2003,Return to Owner,,Dog,Spayed Female,13 years,Dachshund Mix,Red
A342480,Lucy,5/20/2015 12:25,15-May,4/8/2001,Return to Owner,,Dog,Spayed Female,14 years,Labrador Retriever Mix,Red/Tan
A342659,Flynt,9/12/2017 8:53,17-Sep,9/18/2003,Adoption,Foster,Dog,Neutered Male,13 years,Catahoula Mix,Black/Brown
A345209,Chula,11/26/2014 14:11,14-Nov,2/18/2004,Return to Owner,,Dog,Spayed Female,10 years,Labrador Retriever Mix,Tan
A345209,Chula,11/27/2014 9:59,14-Nov,2/18/2004,Return to Owner,,Dog,Spayed Female,10 years,Labrador Retriever Mix,Tan
A346010,Mattie,8/18/2016 16:42,16-Aug,8/18/2006,Adoption,,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Black/White
A346599,Assassin,12/4/2015 12:22,15-Dec,3/15/2004,Transfer,Partner,Cat,Intact Male,11 years,Domestic Shorthair Mix,Black
A346599,Assassin,5/14/2014 13:36,14-May,3/15/2004,Return to Owner,,Cat,Intact Male,10 years,Domestic Shorthair Mix,Black
A346884,Dolly,8/11/2015 13:44,15-Aug,2/4/2004,Euthanasia,Suffering,Dog,Spayed Female,11 years,Bernese Mountain Dog,Tricolor
A347684,Ruby,7/26/2014 19:03,14-Jul,5/23/2001,Return to Owner,,Dog,Spayed Female,13 years,Chihuahua Shorthair,Black/Red
A347684,Ruby,3/29/2015 15:42,15-Mar,5/23/2001,Return to Owner,,Dog,Spayed Female,13 years,Chihuahua Shorthair,Black/Red
A348272,Brandy,7/24/2015 18:19,15-Jul,8/14/2003,Adoption,,Dog,Spayed Female,11 years,Labrador Retriever/Chow Chow,Brown/Black
A348400,Sweet Pea,7/21/2017 12:09,17-Jul,11/25/2002,Adoption,,Cat,Spayed Female,14 years,Scottish Fold Mix,Black/White
A349317,Astro,8/17/2017 18:30,17-Aug,4/6/2004,Adoption,,Dog,Neutered Male,13 years,Labrador Retriever Mix,Black
A349334,Grunt,10/16/2013 11:47,13-Oct,6/1/2002,Return to Owner,,Dog,Neutered Male,11 years,Labrador Retriever/Siberian Husky,Black/White
A349480,Daisy,12/22/2013 11:30,13-Dec,2/1/2002,Return to Owner,,Dog,Spayed Female,11 years,Labrador Retriever Mix,Chocolate
A349733,Allie,9/27/2017 19:09,17-Sep,6/4/2001,Return to Owner,,Dog,Spayed Female,16 years,Chow Chow Mix,Red
A349990,Spice,2/2/2018 14:18,18-Feb,4/16/2004,Transfer,Partner,Cat,Spayed Female,13 years,Domestic Shorthair Mix,Calico
A349996,Sugar,2/2/2018 14:17,18-Feb,5/1/2004,Transfer,Partner,Cat,Neutered Male,13 years,Domestic Shorthair Mix,White
A350276,Mabel,1/28/2018 17:51,18-Jan,4/13/2004,Adoption,,Cat,Spayed Female,13 years,Abyssinian Mix,Brown Tabby/Agouti
A350276,Mabel,4/9/2020 9:38,20-Apr,4/13/2004,Adoption,Foster,Cat,Spayed Female,16 years,Abyssinian Mix,Brown Tabby/Agouti
A350375,Meo,5/23/2017 16:17,17-May,6/9/2002,Transfer,Partner,Cat,Neutered Male,14 years,Siamese Mix,Blue Point
A352261,Isabella,11/12/2019 18:35,19-Nov,5/5/2004,Return to Owner,,Cat,Spayed Female,15 years,Domestic Longhair Mix,Black Tabby/White
A352555,Harley,8/10/2014 18:57,14-Aug,6/30/2001,Return to Owner,,Dog,Spayed Female,13 years,Labrador Retriever Mix,Tan
A352713,Gia,4/25/2017 12:25,17-Apr,4/16/2004,Transfer,Partner,Cat,Spayed Female,13 years,Domestic Shorthair Mix,Silver Tabby
A352872,Peanutbutter,7/16/2015 17:58,15-Jul,11/28/2003,Died,In Kennel,Dog,Neutered Male,11 years,German Shepherd Mix,Black/Brown
A353259,Bj,5/9/2016 10:40,16-May,1/1/2002,Return to Owner,,Dog,Neutered Male,14 years,Labrador Retriever,Tan
A354540,Tux,1/22/2015 12:07,15-Jan,4/28/2004,Adoption,Foster,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White
A354597,Ariel,6/3/2014 12:30,14-Jun,5/5/2004,Adoption,,Cat,Spayed Female,10 years,Maine Coon Mix,Brown Tabby
A354725,Kia,8/29/2015 15:17,15-Aug,10/30/2003,Transfer,Partner,Dog,Spayed Female,11 years,Labrador Retriever/Beagle,Black
A354753,Sammy,4/22/2017 11:27,17-Apr,7/13/2003,Return to Owner,,Dog,Neutered Male,13 years,Pit Bull,Brown Brindle/White
A355519,Faith,5/9/2015 11:15,15-May,12/14/2002,Return to Owner,,Dog,Spayed Female,12 years,Greyhound,Tan/White
A355688,Shadow,2/23/2014 17:48,14-Feb,5/19/2004,Adoption,,Dog,Neutered Male,9 years,Australian Shepherd/Chow Chow,Blue
A355753,Elijah,9/30/2015 16:48,15-Sep,5/26/2004,Return to Owner,,Dog,Neutered Male,11 years,Beagle Mix,Tricolor
A355753,Elijah,9/19/2015 18:08,15-Sep,5/26/2004,Adoption,,Dog,Neutered Male,11 years,Beagle Mix,Tricolor
A357021,Queens,12/4/2014 15:34,14-Dec,6/8/2004,Return to Owner,,Dog,Spayed Female,10 years,Labrador Retriever/Pit Bull,White
A357122,Madison,1/3/2019 13:17,19-Jan,12/6/2003,Return to Owner,,Dog,Spayed Female,15 years,Border Collie,Black/White
